2026-02-14 11:40:27 | INFO     | services.db | Database connection established
2026-02-14 11:40:27 | DEBUG    | services.db | Database collections initialized
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | api.profile_routes | Explicit interest added
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | api.profile_routes | Explicit interest removed
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | api.profile_routes | Bulk explicit interests updated
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application started successfully
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | DEBUG    | api.profile_routes | Fetching profile for user
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Building user profile
2026-02-14 11:40:29 | DEBUG    | services.user_profile_service | Profile aggregation complete
2026-02-14 11:40:29 | INFO     | services.user_profile_service | User profile saved
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown initiated
2026-02-14 11:40:29 | INFO     | main | FastAPI application shutdown complete
2026-02-14 11:40:29 | INFO     | main | FastAPI application startup initiated
